strategy,historical_sensors,historical_observations,historical_observations_per_sensor,live_sensors,repetition,random_seed,total_latency_ms,historical_source_time_ms,coordinator_time_ms,historical_entities_looked_up,historical_records_scanned,historical_records_matched,historical_records_returned,live_records_processed,bytes_sent_to_historical_source,bytes_received_from_historical_source,total_bytes_transferred,source_requests,result_count,result_hash
fetch-all,100000,10000000,100,10,0,17,8.237333,8.230166,0.007292,100000,10000000,10000000,10000000,10,0,240000000,240000120,2,10,496238227422992980
fetch-all,100000,10000000,100,10,1,17,7.554208,7.551667,0.002500,100000,10000000,10000000,10000000,10,0,240000000,240000120,2,10,496238227422992980
fetch-all,100000,10000000,100,10,2,17,7.855666,7.853375,0.002250,100000,10000000,10000000,10000000,10,0,240000000,240000120,2,10,496238227422992980
aggregate-pushdown,100000,10000000,100,10,0,17,7.270875,7.268833,0.002000,100000,10000000,10000000,100000,10,0,1200000,1200120,2,10,496238227422992980
aggregate-pushdown,100000,10000000,100,10,1,17,7.085250,7.083167,0.002084,100000,10000000,10000000,100000,10,0,1200000,1200120,2,10,496238227422992980
aggregate-pushdown,100000,10000000,100,10,2,17,7.412875,7.410625,0.002292,100000,10000000,10000000,100000,10,0,1200000,1200120,2,10,496238227422992980
bind-join,100000,10000000,100,10,0,17,0.001333,0.000750,0.000584,10,1000,1000,10,10,40,120,280,2,10,496238227422992980
bind-join,100000,10000000,100,10,1,17,0.002625,0.000709,0.001958,10,1000,1000,10,10,40,120,280,2,10,496238227422992980
bind-join,100000,10000000,100,10,2,17,0.001292,0.000750,0.000500,10,1000,1000,10,10,40,120,280,2,10,496238227422992980
fetch-all,100000,10000000,100,100,0,17,7.251250,7.235750,0.015500,100000,10000000,10000000,10000000,100,0,240000000,240001200,2,100,14789835742191583177
fetch-all,100000,10000000,100,100,1,17,7.555417,7.542750,0.012708,100000,10000000,10000000,10000000,100,0,240000000,240001200,2,100,14789835742191583177
fetch-all,100000,10000000,100,100,2,17,7.950709,7.940417,0.010209,100000,10000000,10000000,10000000,100,0,240000000,240001200,2,100,14789835742191583177
aggregate-pushdown,100000,10000000,100,100,0,17,6.955750,6.940417,0.015333,100000,10000000,10000000,100000,100,0,1200000,1201200,2,100,14789835742191583177
aggregate-pushdown,100000,10000000,100,100,1,17,6.692708,6.682708,0.009958,100000,10000000,10000000,100000,100,0,1200000,1201200,2,100,14789835742191583177
aggregate-pushdown,100000,10000000,100,100,2,17,6.901709,6.893292,0.008417,100000,10000000,10000000,100000,100,0,1200000,1201200,2,100,14789835742191583177
bind-join,100000,10000000,100,100,0,17,0.012250,0.007166,0.005042,100,10000,10000,100,100,400,1200,2800,2,100,14789835742191583177
bind-join,100000,10000000,100,100,1,17,0.011917,0.007000,0.004875,100,10000,10000,100,100,400,1200,2800,2,100,14789835742191583177
bind-join,100000,10000000,100,100,2,17,0.011375,0.006750,0.004584,100,10000,10000,100,100,400,1200,2800,2,100,14789835742191583177
