strategy,live_sensors,live_fraction,n,mean_latency_ms,median_latency_ms,stddev_latency_ms,p95_latency_ms,mean_historical_source_time_ms,mean_coordinator_time_ms,mean_records_scanned,mean_records_returned,mean_bytes_transferred,mean_request_count,fetch_all_bytes_over_bind_join,aggregate_pushdown_bytes_over_bind_join,fetch_all_latency_over_bind_join,aggregate_pushdown_latency_over_bind_join
fetch-all,10,0.00010000,3,7.882402,7.855666,0.279525,8.237333,7.878403,0.004014,10000000.000,10000000.000,240000120.000,2.000,857143.285714,,4504.229905,
aggregate-pushdown,10,0.00010000,3,7.256333,7.270875,0.134147,7.412875,7.254208,0.002125,10000000.000,100000.000,1200120.000,2.000,,4286.142857,,4146.476190
bind-join,10,0.00010000,3,0.001750,0.001333,0.000619,0.002625,0.000736,0.001014,1000.000,10.000,280.000,2.000,,,,
fetch-all,100,0.00100000,3,7.585792,7.555417,0.286360,7.950709,7.572972,0.012806,10000000.000,10000000.000,240001200.000,2.000,85714.714286,,640.295313,
aggregate-pushdown,100,0.00100000,3,6.850056,6.901709,0.113428,6.955750,6.838806,0.011236,10000000.000,100000.000,1201200.000,2.000,,429.000000,,578.193883
bind-join,100,0.00100000,3,0.011847,0.011917,0.000361,0.012250,0.006972,0.004834,10000.000,100.000,2800.000,2.000,,,,
fetch-all,1000,0.01000000,3,6.807486,6.735584,0.199074,7.079167,6.736334,0.071125,10000000.000,10000000.000,240012000.000,2.000,8571.857143,,59.999880,
aggregate-pushdown,1000,0.01000000,3,6.819250,6.890416,0.217609,7.042958,6.758972,0.060278,10000000.000,100000.000,1212000.000,2.000,,43.285714,,60.103559
bind-join,1000,0.01000000,3,0.113458,0.112916,0.001960,0.116084,0.070680,0.042777,100000.000,1000.000,28000.000,2.000,,,,
fetch-all,5000,0.05000000,3,7.003056,7.086458,0.154092,7.135709,6.727097,0.275972,10000000.000,10000000.000,240060000.000,2.000,1714.714286,,7.565078,
aggregate-pushdown,5000,0.05000000,3,6.965597,6.916958,0.072859,7.068583,6.699389,0.266181,10000000.000,100000.000,1260000.000,2.000,,9.000000,,7.524613
bind-join,5000,0.05000000,3,0.925708,0.940833,0.101048,1.041209,0.723805,0.201889,500000.000,5000.000,140000.000,2.000,,,,
fetch-all,10000,0.10000000,3,7.085361,6.954416,0.185537,7.347750,6.580722,0.503736,10000000.000,10000000.000,240120000.000,2.000,857.571429,,3.241554,
aggregate-pushdown,10000,0.10000000,3,7.110680,7.139458,0.101737,7.218375,6.608389,0.502306,10000000.000,100000.000,1320000.000,2.000,,4.714286,,3.253137
bind-join,10000,0.10000000,3,2.185792,2.109459,0.216538,2.480791,1.767153,0.418625,1000000.000,10000.000,280000.000,2.000,,,,
fetch-all,25000,0.25000000,3,8.135833,8.137083,0.071449,8.222708,6.852264,1.283569,10000000.000,10000000.000,240300000.000,2.000,343.285714,,1.163259,
aggregate-pushdown,25000,0.25000000,3,7.903778,7.943417,0.070205,7.962792,6.655833,1.247931,10000000.000,100000.000,1500000.000,2.000,,2.142857,,1.130080
bind-join,25000,0.25000000,3,6.994000,6.983167,0.054902,7.066000,5.860181,1.133833,2500000.000,25000.000,700000.000,2.000,,,,
fetch-all,50000,0.50000000,3,9.514597,9.556292,0.219147,9.759709,7.045875,2.468694,10000000.000,10000000.000,240600000.000,2.000,171.857143,,0.663881,
aggregate-pushdown,50000,0.50000000,3,9.352472,9.328583,0.049096,9.420875,6.857167,2.495250,10000000.000,100000.000,1800000.000,2.000,,1.285714,,0.652568
bind-join,50000,0.50000000,3,14.331791,14.409791,0.133824,14.442125,11.910958,2.420847,5000000.000,50000.000,1400000.000,2.000,,,,
fetch-all,75000,0.75000000,3,10.674972,10.694416,0.343102,11.085125,6.985570,3.689417,10000000.000,10000000.000,240900000.000,2.000,114.714286,,0.468474,
aggregate-pushdown,75000,0.75000000,3,10.385306,10.362333,0.033852,10.433167,6.723972,3.661347,10000000.000,100000.000,2100000.000,2.000,,1.000000,,0.455762
bind-join,75000,0.75000000,3,22.786681,22.797959,0.449246,23.331167,18.782736,4.003903,7500000.000,75000.000,2100000.000,2.000,,,,
fetch-all,100000,1.00000000,3,11.717695,11.661375,0.081066,11.832334,6.747681,4.970014,10000000.000,10000000.000,241200000.000,2.000,86.142857,,0.372274,
aggregate-pushdown,100000,1.00000000,3,11.815195,11.812292,0.089413,11.926125,6.766958,5.048222,10000000.000,100000.000,2400000.000,2.000,,0.857143,,0.375371
bind-join,100000,1.00000000,3,31.476014,31.293667,0.712973,32.426000,26.147556,5.328444,10000000.000,100000.000,2800000.000,2.000,,,,
