strategy,historical_sensors,historical_observations,historical_observations_per_sensor,live_sensors,repetition,random_seed,total_latency_ms,historical_source_time_ms,coordinator_time_ms,historical_entities_looked_up,historical_records_scanned,historical_records_matched,historical_records_returned,live_records_processed,bytes_sent_to_historical_source,bytes_received_from_historical_source,total_bytes_transferred,source_requests,result_count,result_hash
fetch-all,100000,10000000,100,30000,0,17,11.095208,9.235125,1.860042,100000,10000000,10000000,10000000,30000,0,240000000,240360000,2,30000,138459467198387563
fetch-all,100000,10000000,100,30000,1,17,9.475792,7.894209,1.581583,100000,10000000,10000000,10000000,30000,0,240000000,240360000,2,30000,138459467198387563
fetch-all,100000,10000000,100,30000,2,17,8.643292,7.207750,1.435459,100000,10000000,10000000,10000000,30000,0,240000000,240360000,2,30000,138459467198387563
aggregate-pushdown,100000,10000000,100,30000,0,17,8.812875,7.292792,1.520041,100000,10000000,10000000,100000,30000,0,1200000,1560000,2,30000,138459467198387563
aggregate-pushdown,100000,10000000,100,30000,1,17,8.170750,6.751458,1.419250,100000,10000000,10000000,100000,30000,0,1200000,1560000,2,30000,138459467198387563
aggregate-pushdown,100000,10000000,100,30000,2,17,8.452083,7.014041,1.438000,100000,10000000,10000000,100000,30000,0,1200000,1560000,2,30000,138459467198387563
bind-join,100000,10000000,100,30000,0,17,9.448875,7.996167,1.452500,30000,3000000,3000000,30000,30000,120000,360000,840000,2,30000,138459467198387563
bind-join,100000,10000000,100,30000,1,17,8.321042,6.923833,1.397166,30000,3000000,3000000,30000,30000,120000,360000,840000,2,30000,138459467198387563
bind-join,100000,10000000,100,30000,2,17,8.320000,6.903167,1.416833,30000,3000000,3000000,30000,30000,120000,360000,840000,2,30000,138459467198387563
fetch-all,100000,10000000,100,35000,0,17,8.486750,6.772542,1.714209,100000,10000000,10000000,10000000,35000,0,240000000,240420000,2,35000,18049935134905709799
fetch-all,100000,10000000,100,35000,1,17,8.159541,6.470583,1.688917,100000,10000000,10000000,10000000,35000,0,240000000,240420000,2,35000,18049935134905709799
fetch-all,100000,10000000,100,35000,2,17,8.654500,6.942792,1.711708,100000,10000000,10000000,10000000,35000,0,240000000,240420000,2,35000,18049935134905709799
aggregate-pushdown,100000,10000000,100,35000,0,17,8.139000,6.408292,1.730708,100000,10000000,10000000,100000,35000,0,1200000,1620000,2,35000,18049935134905709799
aggregate-pushdown,100000,10000000,100,35000,1,17,8.432333,6.678792,1.753458,100000,10000000,10000000,100000,35000,0,1200000,1620000,2,35000,18049935134905709799
aggregate-pushdown,100000,10000000,100,35000,2,17,8.329292,6.589709,1.739500,100000,10000000,10000000,100000,35000,0,1200000,1620000,2,35000,18049935134905709799
bind-join,100000,10000000,100,35000,0,17,9.908500,8.148500,1.760041,35000,3500000,3500000,35000,35000,140000,420000,980000,2,35000,18049935134905709799
bind-join,100000,10000000,100,35000,1,17,9.767709,8.103000,1.664709,35000,3500000,3500000,35000,35000,140000,420000,980000,2,35000,18049935134905709799
bind-join,100000,10000000,100,35000,2,17,10.148791,8.448584,1.700166,35000,3500000,3500000,35000,35000,140000,420000,980000,2,35000,18049935134905709799
fetch-all,100000,10000000,100,40000,0,17,8.721833,6.717333,2.004416,100000,10000000,10000000,10000000,40000,0,240000000,240480000,2,40000,91558847851314263
fetch-all,100000,10000000,100,40000,1,17,8.039833,6.146583,1.893167,100000,10000000,10000000,10000000,40000,0,240000000,240480000,2,40000,91558847851314263
fetch-all,100000,10000000,100,40000,2,17,8.582042,6.613000,1.968959,100000,10000000,10000000,10000000,40000,0,240000000,240480000,2,40000,91558847851314263
