strategy,live_sensors,live_fraction,n,mean_latency_ms,median_latency_ms,stddev_latency_ms,p95_latency_ms,mean_historical_source_time_ms,mean_coordinator_time_ms,mean_records_scanned,mean_records_returned,mean_bytes_transferred,mean_request_count,fetch_all_bytes_over_bind_join,aggregate_pushdown_bytes_over_bind_join,fetch_all_latency_over_bind_join,aggregate_pushdown_latency_over_bind_join
fetch-all,30000,0.30000000,3,9.738097,9.475792,1.018029,11.095208,8.112361,1.625695,10000000.000,10000000.000,240360000.000,2.000,286.142857,,1.119754,
aggregate-pushdown,30000,0.30000000,3,8.478569,8.452083,0.262815,8.812875,7.019430,1.459097,10000000.000,100000.000,1560000.000,2.000,,1.857143,,0.974925
bind-join,30000,0.30000000,3,8.696639,8.321042,0.531911,9.448875,7.274389,1.422166,3000000.000,30000.000,840000.000,2.000,,,,
fetch-all,35000,0.35000000,3,8.433597,8.486750,0.205532,8.654500,6.728639,1.704945,10000000.000,10000000.000,240420000.000,2.000,245.326531,,0.848308,
aggregate-pushdown,35000,0.35000000,3,8.300208,8.329292,0.121506,8.432333,6.558931,1.741222,10000000.000,100000.000,1620000.000,2.000,,1.653061,,0.834891
bind-join,35000,0.35000000,3,9.941667,9.908500,0.157334,10.148791,8.233361,1.708305,3500000.000,35000.000,980000.000,2.000,,,,
fetch-all,40000,0.40000000,3,8.447903,8.582042,0.294138,8.721833,6.492305,1.955514,10000000.000,10000000.000,240480000.000,2.000,214.714286,,0.743797,
aggregate-pushdown,40000,0.40000000,3,9.421555,9.604333,0.475219,9.890250,7.433708,1.987791,10000000.000,100000.000,1680000.000,2.000,,1.500000,,0.829522
bind-join,40000,0.40000000,3,11.357806,11.304250,0.079480,11.470167,9.455014,1.901875,4000000.000,40000.000,1120000.000,2.000,,,,
fetch-all,45000,0.45000000,3,9.014236,8.943375,0.132076,9.199334,6.819708,2.193681,10000000.000,10000000.000,240540000.000,2.000,190.904762,,0.682006,
aggregate-pushdown,45000,0.45000000,3,8.680597,8.748125,0.192121,8.874750,6.585167,2.095430,10000000.000,100000.000,1740000.000,2.000,,1.380952,,0.656763
bind-join,45000,0.45000000,3,13.217236,13.017833,0.554445,13.973667,11.133180,2.084014,4500000.000,45000.000,1260000.000,2.000,,,,
