strategy,historical_sensors,historical_observations,historical_observations_per_sensor,live_sensors,repetition,random_seed,total_latency_ms,historical_source_time_ms,coordinator_time_ms,historical_entities_looked_up,historical_records_scanned,historical_records_matched,historical_records_returned,live_records_processed,bytes_sent_to_historical_source,bytes_received_from_historical_source,total_bytes_transferred,source_requests,result_count,result_hash
fetch-all,1000,100000,100,10,0,17,0.158208,0.155958,0.002208,1000,100000,100000,100000,10,0,2400000,2400120,2,10,496238227422992980
fetch-all,1000,100000,100,10,1,17,0.140167,0.138125,0.002000,1000,100000,100000,100000,10,0,2400000,2400120,2,10,496238227422992980
fetch-all,1000,100000,100,10,2,17,0.141083,0.139292,0.001667,1000,100000,100000,100000,10,0,2400000,2400120,2,10,496238227422992980
aggregate-pushdown,1000,100000,100,10,0,17,0.137917,0.136542,0.001416,1000,100000,100000,1000,10,0,12000,12120,2,10,496238227422992980
aggregate-pushdown,1000,100000,100,10,1,17,0.139334,0.138000,0.001333,1000,100000,100000,1000,10,0,12000,12120,2,10,496238227422992980
aggregate-pushdown,1000,100000,100,10,2,17,0.132750,0.130500,0.002291,1000,100000,100000,1000,10,0,12000,12120,2,10,496238227422992980
bind-join,1000,100000,100,10,0,17,0.003208,0.001917,0.001208,10,1000,1000,10,10,40,120,280,2,10,496238227422992980
bind-join,1000,100000,100,10,1,17,0.003042,0.001833,0.001166,10,1000,1000,10,10,40,120,280,2,10,496238227422992980
bind-join,1000,100000,100,10,2,17,0.011833,0.001833,0.010000,10,1000,1000,10,10,40,120,280,2,10,496238227422992980
fetch-all,1000,100000,100,100,0,17,0.144709,0.129250,0.015416,1000,100000,100000,100000,100,0,2400000,2401200,2,100,14789835742191583177
fetch-all,1000,100000,100,100,1,17,0.161792,0.147459,0.014334,1000,100000,100000,100000,100,0,2400000,2401200,2,100,14789835742191583177
fetch-all,1000,100000,100,100,2,17,0.153750,0.140750,0.013000,1000,100000,100000,100000,100,0,2400000,2401200,2,100,14789835742191583177
aggregate-pushdown,1000,100000,100,100,0,17,0.139208,0.126875,0.012292,1000,100000,100000,1000,100,0,12000,13200,2,100,14789835742191583177
aggregate-pushdown,1000,100000,100,100,1,17,0.127625,0.116291,0.011292,1000,100000,100000,1000,100,0,12000,13200,2,100,14789835742191583177
aggregate-pushdown,1000,100000,100,100,2,17,0.125458,0.114333,0.011125,1000,100000,100000,1000,100,0,12000,13200,2,100,14789835742191583177
bind-join,1000,100000,100,100,0,17,0.027083,0.015875,0.011209,100,10000,10000,100,100,400,1200,2800,2,100,14789835742191583177
bind-join,1000,100000,100,100,1,17,0.027083,0.015875,0.011250,100,10000,10000,100,100,400,1200,2800,2,100,14789835742191583177
bind-join,1000,100000,100,100,2,17,0.026666,0.015542,0.011083,100,10000,10000,100,100,400,1200,2800,2,100,14789835742191583177
fetch-all,1000,100000,100,1000,0,17,0.219583,0.123291,0.096250,1000,100000,100000,100000,1000,0,2400000,2412000,2,1000,8851256960392883495
fetch-all,1000,100000,100,1000,1,17,0.358917,0.192083,0.166750,1000,100000,100000,100000,1000,0,2400000,2412000,2,1000,8851256960392883495
fetch-all,1000,100000,100,1000,2,17,0.268375,0.144083,0.124209,1000,100000,100000,100000,1000,0,2400000,2412000,2,1000,8851256960392883495
aggregate-pushdown,1000,100000,100,1000,0,17,0.254334,0.139625,0.114666,1000,100000,100000,1000,1000,0,12000,24000,2,1000,8851256960392883495
aggregate-pushdown,1000,100000,100,1000,1,17,0.100583,0.052917,0.047625,1000,100000,100000,1000,1000,0,12000,24000,2,1000,8851256960392883495
aggregate-pushdown,1000,100000,100,1000,2,17,0.096083,0.054417,0.041667,1000,100000,100000,1000,1000,0,12000,24000,2,1000,8851256960392883495
bind-join,1000,100000,100,1000,0,17,0.128625,0.088333,0.040250,1000,100000,100000,1000,1000,4000,12000,28000,2,1000,8851256960392883495
bind-join,1000,100000,100,1000,1,17,0.223375,0.127791,0.095542,1000,100000,100000,1000,1000,4000,12000,28000,2,1000,8851256960392883495
bind-join,1000,100000,100,1000,2,17,0.136625,0.097875,0.038791,1000,100000,100000,1000,1000,4000,12000,28000,2,1000,8851256960392883495
