strategy,historical_sensors,historical_observations,historical_observations_per_sensor,live_sensors,live_fraction,repetition,random_seed,evaluation_time,total_latency_ms,historical_source_time_ms,coordinator_time_ms,historical_entities_looked_up,historical_records_scanned,historical_records_matched,historical_records_returned,live_records_processed,bytes_sent_to_historical_source,bytes_received_from_historical_source,total_bytes_transferred,source_requests,result_count,result_hash
fetch-all,100000,10000000,100,10,0.00010000,0,7,3000000,8.522958,8.519125,0.003833,100000,10000000,10000000,10000000,10,0,240000000,240000120,2,10,496238227422992980
fetch-all,100000,10000000,100,10,0.00010000,1,7,3000000,7.906166,7.902958,0.003166,100000,10000000,10000000,10000000,10,0,240000000,240000120,2,10,496238227422992980
fetch-all,100000,10000000,100,10,0.00010000,2,7,3000000,7.934709,7.932834,0.001916,100000,10000000,10000000,10000000,10,0,240000000,240000120,2,10,496238227422992980
aggregate-pushdown,100000,10000000,100,10,0.00010000,0,7,3000000,7.913125,7.911250,0.001875,100000,10000000,10000000,100000,10,0,1200000,1200120,2,10,496238227422992980
aggregate-pushdown,100000,10000000,100,10,0.00010000,1,7,3000000,7.359000,7.357042,0.001958,100000,10000000,10000000,100000,10,0,1200000,1200120,2,10,496238227422992980
aggregate-pushdown,100000,10000000,100,10,0.00010000,2,7,3000000,7.301125,7.298916,0.002167,100000,10000000,10000000,100000,10,0,1200000,1200120,2,10,496238227422992980
bind-join,100000,10000000,100,10,0.00010000,0,7,3000000,0.001125,0.000667,0.000417,10,1000,1000,10,10,40,120,280,2,10,496238227422992980
bind-join,100000,10000000,100,10,0.00010000,1,7,3000000,0.001083,0.000667,0.000375,10,1000,1000,10,10,40,120,280,2,10,496238227422992980
bind-join,100000,10000000,100,10,0.00010000,2,7,3000000,0.001083,0.000667,0.000417,10,1000,1000,10,10,40,120,280,2,10,496238227422992980
fetch-all,100000,10000000,100,100,0.00100000,0,7,3000000,8.034916,8.016625,0.018208,100000,10000000,10000000,10000000,100,0,240000000,240001200,2,100,14789835742191583177
fetch-all,100000,10000000,100,100,0.00100000,1,7,3000000,7.409125,7.397541,0.011584,100000,10000000,10000000,10000000,100,0,240000000,240001200,2,100,14789835742191583177
fetch-all,100000,10000000,100,100,0.00100000,2,7,3000000,6.998875,6.987833,0.011000,100000,10000000,10000000,10000000,100,0,240000000,240001200,2,100,14789835742191583177
aggregate-pushdown,100000,10000000,100,100,0.00100000,0,7,3000000,6.911792,6.901084,0.010750,100000,10000000,10000000,100000,100,0,1200000,1201200,2,100,14789835742191583177
aggregate-pushdown,100000,10000000,100,100,0.00100000,1,7,3000000,6.668125,6.657459,0.010667,100000,10000000,10000000,100000,100,0,1200000,1201200,2,100,14789835742191583177
aggregate-pushdown,100000,10000000,100,100,0.00100000,2,7,3000000,6.801166,6.792791,0.008375,100000,10000000,10000000,100000,100,0,1200000,1201200,2,100,14789835742191583177
bind-join,100000,10000000,100,100,0.00100000,0,7,3000000,0.011292,0.006667,0.004667,100,10000,10000,100,100,400,1200,2800,2,100,14789835742191583177
bind-join,100000,10000000,100,100,0.00100000,1,7,3000000,0.011000,0.006542,0.004458,100,10000,10000,100,100,400,1200,2800,2,100,14789835742191583177
bind-join,100000,10000000,100,100,0.00100000,2,7,3000000,0.012041,0.007167,0.004833,100,10000,10000,100,100,400,1200,2800,2,100,14789835742191583177
fetch-all,100000,10000000,100,1000,0.01000000,0,7,3000000,6.668750,6.600083,0.068709,100000,10000000,10000000,10000000,1000,0,240000000,240012000,2,1000,8851256960392883495
fetch-all,100000,10000000,100,1000,0.01000000,1,7,3000000,6.690583,6.620625,0.070000,100000,10000000,10000000,10000000,1000,0,240000000,240012000,2,1000,8851256960392883495
fetch-all,100000,10000000,100,1000,0.01000000,2,7,3000000,6.704875,6.631333,0.073542,100000,10000000,10000000,10000000,1000,0,240000000,240012000,2,1000,8851256960392883495
aggregate-pushdown,100000,10000000,100,1000,0.01000000,0,7,3000000,7.301583,7.229500,0.072042,100000,10000000,10000000,100000,1000,0,1200000,1212000,2,1000,8851256960392883495
aggregate-pushdown,100000,10000000,100,1000,0.01000000,1,7,3000000,6.768666,6.700166,0.068500,100000,10000000,10000000,100000,1000,0,1200000,1212000,2,1000,8851256960392883495
aggregate-pushdown,100000,10000000,100,1000,0.01000000,2,7,3000000,6.684667,6.617334,0.067333,100000,10000000,10000000,100000,1000,0,1200000,1212000,2,1000,8851256960392883495
bind-join,100000,10000000,100,1000,0.01000000,0,7,3000000,0.118708,0.076166,0.042542,1000,100000,100000,1000,1000,4000,12000,28000,2,1000,8851256960392883495
bind-join,100000,10000000,100,1000,0.01000000,1,7,3000000,0.115416,0.072875,0.042458,1000,100000,100000,1000,1000,4000,12000,28000,2,1000,8851256960392883495
bind-join,100000,10000000,100,1000,0.01000000,2,7,3000000,0.103542,0.065292,0.038250,1000,100000,100000,1000,1000,4000,12000,28000,2,1000,8851256960392883495
fetch-all,100000,10000000,100,5000,0.05000000,0,7,3000000,6.840709,6.563083,0.277584,100000,10000000,10000000,10000000,5000,0,240000000,240060000,2,5000,4628175296057855655
fetch-all,100000,10000000,100,5000,0.05000000,1,7,3000000,6.939834,6.658750,0.281083,100000,10000000,10000000,10000000,5000,0,240000000,240060000,2,5000,4628175296057855655
fetch-all,100000,10000000,100,5000,0.05000000,2,7,3000000,7.126250,6.833125,0.293167,100000,10000000,10000000,10000000,5000,0,240000000,240060000,2,5000,4628175296057855655
aggregate-pushdown,100000,10000000,100,5000,0.05000000,0,7,3000000,6.904416,6.631333,0.273083,100000,10000000,10000000,100000,5000,0,1200000,1260000,2,5000,4628175296057855655
aggregate-pushdown,100000,10000000,100,5000,0.05000000,1,7,3000000,7.004334,6.726667,0.277625,100000,10000000,10000000,100000,5000,0,1200000,1260000,2,5000,4628175296057855655
aggregate-pushdown,100000,10000000,100,5000,0.05000000,2,7,3000000,6.833750,6.551584,0.282125,100000,10000000,10000000,100000,5000,0,1200000,1260000,2,5000,4628175296057855655
bind-join,100000,10000000,100,5000,0.05000000,0,7,3000000,0.911042,0.718792,0.192250,5000,500000,500000,5000,5000,20000,60000,140000,2,5000,4628175296057855655
bind-join,100000,10000000,100,5000,0.05000000,1,7,3000000,0.834041,0.642792,0.191208,5000,500000,500000,5000,5000,20000,60000,140000,2,5000,4628175296057855655
bind-join,100000,10000000,100,5000,0.05000000,2,7,3000000,0.725667,0.535250,0.190375,5000,500000,500000,5000,5000,20000,60000,140000,2,5000,4628175296057855655
fetch-all,100000,10000000,100,10000,0.10000000,0,7,3000000,7.016000,6.555916,0.460084,100000,10000000,10000000,10000000,10000,0,240000000,240120000,2,10000,13808986774228246291
fetch-all,100000,10000000,100,10000,0.10000000,1,7,3000000,7.140000,6.637167,0.502791,100000,10000000,10000000,10000000,10000,0,240000000,240120000,2,10000,13808986774228246291
fetch-all,100000,10000000,100,10000,0.10000000,2,7,3000000,6.925834,6.462917,0.462875,100000,10000000,10000000,10000000,10000,0,240000000,240120000,2,10000,13808986774228246291
aggregate-pushdown,100000,10000000,100,10000,0.10000000,0,7,3000000,7.168959,6.695167,0.473750,100000,10000000,10000000,100000,10000,0,1200000,1320000,2,10000,13808986774228246291
aggregate-pushdown,100000,10000000,100,10000,0.10000000,1,7,3000000,6.877167,6.402792,0.474375,100000,10000000,10000000,100000,10000,0,1200000,1320000,2,10000,13808986774228246291
aggregate-pushdown,100000,10000000,100,10000,0.10000000,2,7,3000000,7.240458,6.730625,0.509833,100000,10000000,10000000,100000,10000,0,1200000,1320000,2,10000,13808986774228246291
bind-join,100000,10000000,100,10000,0.10000000,0,7,3000000,2.488917,2.046667,0.442292,10000,1000000,1000000,10000,10000,40000,120000,280000,2,10000,13808986774228246291
bind-join,100000,10000000,100,10000,0.10000000,1,7,3000000,2.387417,1.949334,0.438083,10000,1000000,1000000,10000,10000,40000,120000,280000,2,10000,13808986774228246291
bind-join,100000,10000000,100,10000,0.10000000,2,7,3000000,2.456000,2.011084,0.444875,10000,1000000,1000000,10000,10000,40000,120000,280000,2,10000,13808986774228246291
fetch-all,100000,10000000,100,25000,0.25000000,0,7,3000000,8.403583,7.159500,1.244000,100000,10000000,10000000,10000000,25000,0,240000000,240300000,2,25000,17253758056148863903
fetch-all,100000,10000000,100,25000,0.25000000,1,7,3000000,7.970875,6.726042,1.244833,100000,10000000,10000000,10000000,25000,0,240000000,240300000,2,25000,17253758056148863903
fetch-all,100000,10000000,100,25000,0.25000000,2,7,3000000,7.818916,6.570625,1.248292,100000,10000000,10000000,10000000,25000,0,240000000,240300000,2,25000,17253758056148863903
aggregate-pushdown,100000,10000000,100,25000,0.25000000,0,7,3000000,8.208000,6.977584,1.230458,100000,10000000,10000000,100000,25000,0,1200000,1500000,2,25000,17253758056148863903
aggregate-pushdown,100000,10000000,100,25000,0.25000000,1,7,3000000,7.791166,6.586125,1.205041,100000,10000000,10000000,100000,25000,0,1200000,1500000,2,25000,17253758056148863903
aggregate-pushdown,100000,10000000,100,25000,0.25000000,2,7,3000000,8.227500,6.996083,1.231333,100000,10000000,10000000,100000,25000,0,1200000,1500000,2,25000,17253758056148863903
bind-join,100000,10000000,100,25000,0.25000000,0,7,3000000,6.907125,5.797833,1.109292,25000,2500000,2500000,25000,25000,100000,300000,700000,2,25000,17253758056148863903
bind-join,100000,10000000,100,25000,0.25000000,1,7,3000000,6.840625,5.762000,1.078625,25000,2500000,2500000,25000,25000,100000,300000,700000,2,25000,17253758056148863903
bind-join,100000,10000000,100,25000,0.25000000,2,7,3000000,6.701625,5.624625,1.077000,25000,2500000,2500000,25000,25000,100000,300000,700000,2,25000,17253758056148863903
fetch-all,100000,10000000,100,30000,0.30000000,0,7,3000000,9.410125,7.914375,1.495708,100000,10000000,10000000,10000000,30000,0,240000000,240360000,2,30000,138459467198387563
fetch-all,100000,10000000,100,30000,0.30000000,1,7,3000000,8.335791,6.840041,1.495834,100000,10000000,10000000,10000000,30000,0,240000000,240360000,2,30000,138459467198387563
fetch-all,100000,10000000,100,30000,0.30000000,2,7,3000000,8.307625,6.784250,1.523333,100000,10000000,10000000,10000000,30000,0,240000000,240360000,2,30000,138459467198387563
aggregate-pushdown,100000,10000000,100,30000,0.30000000,0,7,3000000,8.174959,6.637458,1.537417,100000,10000000,10000000,100000,30000,0,1200000,1560000,2,30000,138459467198387563
aggregate-pushdown,100000,10000000,100,30000,0.30000000,1,7,3000000,8.080250,6.608959,1.471209,100000,10000000,10000000,100000,30000,0,1200000,1560000,2,30000,138459467198387563
aggregate-pushdown,100000,10000000,100,30000,0.30000000,2,7,3000000,8.809708,7.303083,1.506625,100000,10000000,10000000,100000,30000,0,1200000,1560000,2,30000,138459467198387563
bind-join,100000,10000000,100,30000,0.30000000,0,7,3000000,8.743834,7.193833,1.549959,30000,3000000,3000000,30000,30000,120000,360000,840000,2,30000,138459467198387563
