strategy,live_sensors,live_fraction,n,mean_latency_ms,median_latency_ms,stddev_latency_ms,p95_latency_ms,mean_historical_source_time_ms,mean_coordinator_time_ms,mean_records_scanned,mean_records_returned,mean_bytes_transferred,mean_request_count,fetch_all_bytes_over_bind_join,aggregate_pushdown_bytes_over_bind_join,fetch_all_latency_over_bind_join,aggregate_pushdown_latency_over_bind_join
fetch-all,10,0.00010000,3,8.121278,7.934709,0.284270,8.522958,8.118306,0.002972,10000000.000,10000000.000,240000120.000,2.000,857143.285714,,7403.170161,
aggregate-pushdown,10,0.00010000,3,7.524417,7.359000,0.275872,7.913125,7.522403,0.002000,10000000.000,100000.000,1200120.000,2.000,,4286.142857,,6859.085384
bind-join,10,0.00010000,3,0.001097,0.001083,0.000020,0.001125,0.000667,0.000403,1000.000,10.000,280.000,2.000,,,,
fetch-all,100,0.00100000,3,7.480972,7.409125,0.426002,8.034916,7.467333,0.013597,10000000.000,10000000.000,240001200.000,2.000,85714.714286,,653.683511,
aggregate-pushdown,100,0.00100000,3,6.793694,6.801166,0.099617,6.911792,6.783778,0.009931,10000000.000,100000.000,1201200.000,2.000,,429.000000,,593.629540
bind-join,100,0.00100000,3,0.011444,0.011292,0.000438,0.012041,0.006792,0.004653,10000.000,100.000,2800.000,2.000,,,,
fetch-all,1000,0.01000000,3,6.688069,6.690583,0.014855,6.704875,6.617347,0.070750,10000000.000,10000000.000,240012000.000,2.000,8571.857143,,59.420279,
aggregate-pushdown,1000,0.01000000,3,6.918305,6.768666,0.273179,7.301583,6.849000,0.069292,10000000.000,100000.000,1212000.000,2.000,,43.285714,,61.465815
bind-join,1000,0.01000000,3,0.112555,0.115416,0.006514,0.118708,0.071444,0.041083,100000.000,1000.000,28000.000,2.000,,,,
fetch-all,5000,0.05000000,3,6.968931,6.939834,0.118373,7.126250,6.684986,0.283945,10000000.000,10000000.000,240060000.000,2.000,1714.714286,,8.461719,
aggregate-pushdown,5000,0.05000000,3,6.914167,6.904416,0.069981,7.004334,6.636528,0.277611,10000000.000,100000.000,1260000.000,2.000,,9.000000,,8.395224
bind-join,5000,0.05000000,3,0.823583,0.834041,0.076039,0.911042,0.632278,0.191278,500000.000,5000.000,140000.000,2.000,,,,
fetch-all,10000,0.10000000,3,7.027278,7.016000,0.087796,7.140000,6.552000,0.475250,10000000.000,10000000.000,240120000.000,2.000,857.571429,,2.875187,
aggregate-pushdown,10000,0.10000000,3,7.095528,7.168959,0.157139,7.240458,6.609528,0.485986,10000000.000,100000.000,1320000.000,2.000,,4.714286,,2.903112
bind-join,10000,0.10000000,3,2.444111,2.456000,0.042281,2.488917,2.002362,0.441750,1000000.000,10000.000,280000.000,2.000,,,,
fetch-all,25000,0.25000000,3,8.064458,7.970875,0.247692,8.403583,6.818722,1.245708,10000000.000,10000000.000,240300000.000,2.000,343.285714,,1.183086,
aggregate-pushdown,25000,0.25000000,3,8.075555,8.208000,0.201251,8.227500,6.853264,1.222277,10000000.000,100000.000,1500000.000,2.000,,2.142857,,1.184714
bind-join,25000,0.25000000,3,6.816458,6.840625,0.085618,6.907125,5.728153,1.088306,2500000.000,25000.000,700000.000,2.000,,,,
fetch-all,30000,0.30000000,3,8.684514,8.335791,0.513214,9.410125,7.179555,1.504958,10000000.000,10000000.000,240360000.000,2.000,286.142857,,0.997645,
aggregate-pushdown,30000,0.30000000,3,8.354972,8.174959,0.323863,8.809708,6.849833,1.505084,10000000.000,100000.000,1560000.000,2.000,,1.857143,,0.959789
bind-join,30000,0.30000000,3,8.705014,8.743834,0.158566,8.876875,7.234445,1.470542,3000000.000,30000.000,840000.000,2.000,,,,
fetch-all,35000,0.35000000,3,12.671708,10.995416,4.207494,18.454250,7.996375,4.675306,10000000.000,10000000.000,240420000.000,2.000,245.326531,,1.038847,
aggregate-pushdown,35000,0.35000000,3,9.659417,9.432708,0.370722,10.182167,7.651972,2.007500,10000000.000,100000.000,1620000.000,2.000,,1.653061,,0.791894
bind-join,35000,0.35000000,3,12.197861,12.415750,0.459448,12.619042,10.349375,1.848486,3500000.000,35000.000,980000.000,2.000,,,,
fetch-all,50000,0.50000000,3,9.842042,9.862208,0.289596,10.186209,7.186861,2.655083,10000000.000,10000000.000,240600000.000,2.000,171.857143,,0.695848,
aggregate-pushdown,50000,0.50000000,3,9.945305,10.048375,0.147385,10.050666,7.421708,2.523569,10000000.000,100000.000,1800000.000,2.000,,1.285714,,0.703149
bind-join,50000,0.50000000,3,14.143958,14.148625,0.043196,14.194375,11.858653,2.285292,5000000.000,50000.000,1400000.000,2.000,,,,
fetch-all,75000,0.75000000,3,10.475764,10.437166,0.072885,10.577834,6.751833,3.724000,10000000.000,10000000.000,240900000.000,2.000,114.714286,,0.356538,
aggregate-pushdown,75000,0.75000000,3,10.646069,10.451458,0.408417,11.214333,6.984903,3.661319,10000000.000,100000.000,2100000.000,2.000,,1.000000,,0.362334
bind-join,75000,0.75000000,3,29.381917,30.444833,3.418989,32.935417,24.254972,5.126931,7500000.000,75000.000,2100000.000,2.000,,,,
fetch-all,100000,1.00000000,3,14.047055,12.688125,2.268533,17.243333,7.436792,6.610291,10000000.000,10000000.000,241200000.000,2.000,86.142857,,0.441710,
aggregate-pushdown,100000,1.00000000,3,12.664930,12.632833,0.567902,13.375958,7.147958,5.516972,10000000.000,100000.000,2400000.000,2.000,,0.857143,,0.398249
bind-join,100000,1.00000000,3,31.801514,31.757417,0.638735,32.604917,26.376278,5.425264,10000000.000,100000.000,2800000.000,2.000,,,,
