strategy,historical_sensors,historical_observations_per_sensor,historical_observations,live_sensors,historical_scale_relative_to_live,repetition,random_seed,evaluation_time,total_latency_ms,historical_source_time_ms,coordinator_time_ms,historical_entities_looked_up,historical_records_scanned,historical_records_matched,historical_records_returned,bytes_sent_to_historical_source,bytes_received_from_historical_source,total_bytes_transferred,source_requests,result_count,result_hash
fetch-all,1000,100,100000,100,10.000000,0,7,3000000,0.242041,0.220375,0.021666,1000,100000,100000,100000,0,2400000,2401200,2,100,14789835742191583177
fetch-all,1000,100,100000,100,10.000000,1,7,3000000,0.285125,0.259875,0.025167,1000,100000,100000,100000,0,2400000,2401200,2,100,14789835742191583177
fetch-all,1000,100,100000,100,10.000000,2,7,3000000,0.177042,0.161958,0.015000,1000,100000,100000,100000,0,2400000,2401200,2,100,14789835742191583177
fetch-all,1000,100,100000,100,10.000000,3,7,3000000,0.159375,0.145375,0.014042,1000,100000,100000,100000,0,2400000,2401200,2,100,14789835742191583177
fetch-all,1000,100,100000,100,10.000000,4,7,3000000,0.153625,0.137583,0.016000,1000,100000,100000,100000,0,2400000,2401200,2,100,14789835742191583177
aggregate-pushdown,1000,100,100000,100,10.000000,0,7,3000000,0.150000,0.136500,0.013459,1000,100000,100000,1000,0,12000,13200,2,100,14789835742191583177
aggregate-pushdown,1000,100,100000,100,10.000000,1,7,3000000,0.149209,0.135750,0.013416,1000,100000,100000,1000,0,12000,13200,2,100,14789835742191583177
aggregate-pushdown,1000,100,100000,100,10.000000,2,7,3000000,0.149500,0.136083,0.013417,1000,100000,100000,1000,0,12000,13200,2,100,14789835742191583177
aggregate-pushdown,1000,100,100000,100,10.000000,3,7,3000000,0.148750,0.135584,0.013167,1000,100000,100000,1000,0,12000,13200,2,100,14789835742191583177
aggregate-pushdown,1000,100,100000,100,10.000000,4,7,3000000,0.149417,0.135875,0.013500,1000,100000,100000,1000,0,12000,13200,2,100,14789835742191583177
bind-join,1000,100,100000,100,10.000000,0,7,3000000,0.031333,0.018667,0.012625,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,1000,100,100000,100,10.000000,1,7,3000000,0.031333,0.018750,0.012542,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,1000,100,100000,100,10.000000,2,7,3000000,0.031500,0.018917,0.012583,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,1000,100,100000,100,10.000000,3,7,3000000,0.031416,0.018834,0.012542,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,1000,100,100000,100,10.000000,4,7,3000000,0.030708,0.018208,0.012458,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
fetch-all,5000,100,500000,100,50.000000,0,7,3000000,0.597875,0.586166,0.011708,5000,500000,500000,500000,0,12000000,12001200,2,100,14789835742191583177
fetch-all,5000,100,500000,100,50.000000,1,7,3000000,0.613417,0.601583,0.011833,5000,500000,500000,500000,0,12000000,12001200,2,100,14789835742191583177
fetch-all,5000,100,500000,100,50.000000,2,7,3000000,0.608917,0.597375,0.011500,5000,500000,500000,500000,0,12000000,12001200,2,100,14789835742191583177
fetch-all,5000,100,500000,100,50.000000,3,7,3000000,0.610500,0.598958,0.011458,5000,500000,500000,500000,0,12000000,12001200,2,100,14789835742191583177
fetch-all,5000,100,500000,100,50.000000,4,7,3000000,0.614583,0.603084,0.011459,5000,500000,500000,500000,0,12000000,12001200,2,100,14789835742191583177
aggregate-pushdown,5000,100,500000,100,50.000000,0,7,3000000,0.610458,0.599167,0.011250,5000,500000,500000,5000,0,60000,61200,2,100,14789835742191583177
aggregate-pushdown,5000,100,500000,100,50.000000,1,7,3000000,0.581584,0.571583,0.009958,5000,500000,500000,5000,0,60000,61200,2,100,14789835742191583177
aggregate-pushdown,5000,100,500000,100,50.000000,2,7,3000000,0.550334,0.540667,0.009625,5000,500000,500000,5000,0,60000,61200,2,100,14789835742191583177
aggregate-pushdown,5000,100,500000,100,50.000000,3,7,3000000,0.538541,0.528791,0.009792,5000,500000,500000,5000,0,60000,61200,2,100,14789835742191583177
aggregate-pushdown,5000,100,500000,100,50.000000,4,7,3000000,0.531000,0.521125,0.009875,5000,500000,500000,5000,0,60000,61200,2,100,14789835742191583177
bind-join,5000,100,500000,100,50.000000,0,7,3000000,0.022750,0.013458,0.009250,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,5000,100,500000,100,50.000000,1,7,3000000,0.022250,0.013250,0.008959,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,5000,100,500000,100,50.000000,2,7,3000000,0.022292,0.013291,0.008958,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,5000,100,500000,100,50.000000,3,7,3000000,0.027375,0.018334,0.008959,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,5000,100,500000,100,50.000000,4,7,3000000,0.023000,0.013667,0.009333,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
fetch-all,10000,100,1000000,100,100.000000,0,7,3000000,0.953417,0.943792,0.009625,10000,1000000,1000000,1000000,0,24000000,24001200,2,100,14789835742191583177
fetch-all,10000,100,1000000,100,100.000000,1,7,3000000,0.942583,0.933125,0.009417,10000,1000000,1000000,1000000,0,24000000,24001200,2,100,14789835742191583177
fetch-all,10000,100,1000000,100,100.000000,2,7,3000000,0.928083,0.918459,0.009625,10000,1000000,1000000,1000000,0,24000000,24001200,2,100,14789835742191583177
fetch-all,10000,100,1000000,100,100.000000,3,7,3000000,0.945375,0.935834,0.009500,10000,1000000,1000000,1000000,0,24000000,24001200,2,100,14789835742191583177
fetch-all,10000,100,1000000,100,100.000000,4,7,3000000,0.942541,0.932833,0.009708,10000,1000000,1000000,1000000,0,24000000,24001200,2,100,14789835742191583177
aggregate-pushdown,10000,100,1000000,100,100.000000,0,7,3000000,0.834125,0.825667,0.008458,10000,1000000,1000000,10000,0,120000,121200,2,100,14789835742191583177
aggregate-pushdown,10000,100,1000000,100,100.000000,1,7,3000000,0.862125,0.853625,0.008500,10000,1000000,1000000,10000,0,120000,121200,2,100,14789835742191583177
aggregate-pushdown,10000,100,1000000,100,100.000000,2,7,3000000,0.865542,0.857000,0.008584,10000,1000000,1000000,10000,0,120000,121200,2,100,14789835742191583177
aggregate-pushdown,10000,100,1000000,100,100.000000,3,7,3000000,0.846250,0.837959,0.008291,10000,1000000,1000000,10000,0,120000,121200,2,100,14789835742191583177
aggregate-pushdown,10000,100,1000000,100,100.000000,4,7,3000000,0.844208,0.835625,0.008542,10000,1000000,1000000,10000,0,120000,121200,2,100,14789835742191583177
bind-join,10000,100,1000000,100,100.000000,0,7,3000000,0.018042,0.010625,0.007375,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,10000,100,1000000,100,100.000000,1,7,3000000,0.017917,0.010584,0.007292,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,10000,100,1000000,100,100.000000,2,7,3000000,0.017375,0.010209,0.007125,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,10000,100,1000000,100,100.000000,3,7,3000000,0.017917,0.010583,0.007333,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,10000,100,1000000,100,100.000000,4,7,3000000,0.017584,0.010375,0.007125,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
fetch-all,25000,100,2500000,100,250.000000,0,7,3000000,1.947375,1.938458,0.008875,25000,2500000,2500000,2500000,0,60000000,60001200,2,100,14789835742191583177
fetch-all,25000,100,2500000,100,250.000000,1,7,3000000,1.880500,1.871458,0.009000,25000,2500000,2500000,2500000,0,60000000,60001200,2,100,14789835742191583177
fetch-all,25000,100,2500000,100,250.000000,2,7,3000000,1.866709,1.857334,0.009375,25000,2500000,2500000,2500000,0,60000000,60001200,2,100,14789835742191583177
fetch-all,25000,100,2500000,100,250.000000,3,7,3000000,1.898208,1.889500,0.008708,25000,2500000,2500000,2500000,0,60000000,60001200,2,100,14789835742191583177
fetch-all,25000,100,2500000,100,250.000000,4,7,3000000,1.985459,1.975958,0.009417,25000,2500000,2500000,2500000,0,60000000,60001200,2,100,14789835742191583177
aggregate-pushdown,25000,100,2500000,100,250.000000,0,7,3000000,1.742375,1.734334,0.007959,25000,2500000,2500000,25000,0,300000,301200,2,100,14789835742191583177
aggregate-pushdown,25000,100,2500000,100,250.000000,1,7,3000000,1.774708,1.766083,0.008625,25000,2500000,2500000,25000,0,300000,301200,2,100,14789835742191583177
aggregate-pushdown,25000,100,2500000,100,250.000000,2,7,3000000,1.846958,1.838375,0.008500,25000,2500000,2500000,25000,0,300000,301200,2,100,14789835742191583177
aggregate-pushdown,25000,100,2500000,100,250.000000,3,7,3000000,1.701833,1.692875,0.008959,25000,2500000,2500000,25000,0,300000,301200,2,100,14789835742191583177
aggregate-pushdown,25000,100,2500000,100,250.000000,4,7,3000000,1.675291,1.666250,0.009000,25000,2500000,2500000,25000,0,300000,301200,2,100,14789835742191583177
bind-join,25000,100,2500000,100,250.000000,0,7,3000000,0.013709,0.007583,0.006083,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,25000,100,2500000,100,250.000000,1,7,3000000,0.012958,0.007584,0.005292,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,25000,100,2500000,100,250.000000,2,7,3000000,0.013584,0.007958,0.005584,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,25000,100,2500000,100,250.000000,3,7,3000000,0.012708,0.007416,0.005250,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,25000,100,2500000,100,250.000000,4,7,3000000,0.012958,0.007667,0.005292,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
fetch-all,50000,100,5000000,100,500.000000,0,7,3000000,3.433250,3.422667,0.010583,50000,5000000,5000000,5000000,0,120000000,120001200,2,100,14789835742191583177
fetch-all,50000,100,5000000,100,500.000000,1,7,3000000,3.708000,3.695792,0.012250,50000,5000000,5000000,5000000,0,120000000,120001200,2,100,14789835742191583177
fetch-all,50000,100,5000000,100,500.000000,2,7,3000000,3.594375,3.583042,0.011292,50000,5000000,5000000,5000000,0,120000000,120001200,2,100,14789835742191583177
fetch-all,50000,100,5000000,100,500.000000,3,7,3000000,3.483875,3.473083,0.010750,50000,5000000,5000000,5000000,0,120000000,120001200,2,100,14789835742191583177
fetch-all,50000,100,5000000,100,500.000000,4,7,3000000,3.569333,3.560584,0.008667,50000,5000000,5000000,5000000,0,120000000,120001200,2,100,14789835742191583177
aggregate-pushdown,50000,100,5000000,100,500.000000,0,7,3000000,3.819750,3.809000,0.010709,50000,5000000,5000000,50000,0,600000,601200,2,100,14789835742191583177
