strategy,historical_sensors,historical_observations,live_sensors,historical_scale_relative_to_live,n,mean_latency_ms,median_latency_ms,stddev_latency_ms,p95_latency_ms,mean_historical_source_time_ms,mean_coordinator_time_ms,mean_historical_records_scanned,mean_historical_records_returned,mean_transferred_bytes
fetch-all,1000,100000,100,10.000000,5,0.203442,0.177042,0.051541,0.285125,0.185033,0.018375,100000.000,100000.000,2401200.000
aggregate-pushdown,1000,100000,100,10.000000,5,0.149375,0.149417,0.000406,0.150000,0.135958,0.013392,100000.000,1000.000,13200.000
bind-join,1000,100000,100,10.000000,5,0.031258,0.031333,0.000282,0.031500,0.018675,0.012550,10000.000,100.000,2800.000
fetch-all,5000,500000,100,50.000000,5,0.609058,0.610500,0.005944,0.614583,0.597433,0.011592,500000.000,500000.000,12001200.000
aggregate-pushdown,5000,500000,100,50.000000,5,0.562383,0.550334,0.029592,0.610458,0.552267,0.010100,500000.000,5000.000,61200.000
bind-join,5000,500000,100,50.000000,5,0.023533,0.022750,0.001941,0.027375,0.014400,0.009092,10000.000,100.000,2800.000
fetch-all,10000,1000000,100,100.000000,5,0.942400,0.942583,0.008188,0.953417,0.932809,0.009575,1000000.000,1000000.000,24001200.000
aggregate-pushdown,10000,1000000,100,100.000000,5,0.850450,0.846250,0.011723,0.865542,0.841975,0.008475,1000000.000,10000.000,121200.000
bind-join,10000,1000000,100,100.000000,5,0.017767,0.017917,0.000248,0.018042,0.010475,0.007250,10000.000,100.000,2800.000
fetch-all,25000,2500000,100,250.000000,5,1.915650,1.898208,0.044305,1.985459,1.906542,0.009075,2500000.000,2500000.000,60001200.000
aggregate-pushdown,25000,2500000,100,250.000000,5,1.748233,1.742375,0.059926,1.846958,1.739583,0.008609,2500000.000,25000.000,301200.000
bind-join,25000,2500000,100,250.000000,5,0.013183,0.012958,0.000391,0.013709,0.007642,0.005500,10000.000,100.000,2800.000
fetch-all,50000,5000000,100,500.000000,5,3.557767,3.569333,0.094877,3.708000,3.547034,0.010708,5000000.000,5000000.000,120001200.000
aggregate-pushdown,50000,5000000,100,500.000000,5,3.414367,3.396916,0.222404,3.819750,3.404975,0.009392,5000000.000,50000.000,601200.000
bind-join,50000,5000000,100,500.000000,5,0.012225,0.011042,0.001955,0.014625,0.007233,0.005008,10000.000,100.000,2800.000
fetch-all,100000,10000000,100,1000.000000,5,6.899909,6.658292,0.429297,7.717459,6.888225,0.011683,10000000.000,10000000.000,240001200.000
aggregate-pushdown,100000,10000000,100,1000.000000,5,6.736142,6.712834,0.191193,6.951875,6.725550,0.010600,10000000.000,100000.000,1201200.000
bind-join,100000,10000000,100,1000.000000,5,0.013016,0.011750,0.002664,0.018333,0.008217,0.004792,10000.000,100.000,2800.000
