live_selectivity,metadata_selectivity,historical_depth,plan,total_bytes_transferred
5,5,1000,CentralFetchAll,8096360
5,5,1000,AggregateAll,101160
5,5,1000,LiveFirst,96600
5,5,1000,MetadataFirst,600
5,5,1000,LiveMetadataSemiJoin,96200
5,5,10000,CentralFetchAll,80096360
5,5,10000,AggregateAll,101160
5,5,10000,LiveFirst,96600
5,5,10000,MetadataFirst,600
5,5,10000,LiveMetadataSemiJoin,96200
5,5,100000,CentralFetchAll,800096360
5,5,100000,AggregateAll,101160
5,5,100000,LiveFirst,96600
5,5,100000,MetadataFirst,600
5,5,100000,LiveMetadataSemiJoin,96200
5,75,1000,CentralFetchAll,8101400
5,75,1000,AggregateAll,106200
5,75,1000,LiveFirst,101640
5,75,1000,MetadataFirst,105000
5,75,1000,LiveMetadataSemiJoin,97000
5,75,10000,CentralFetchAll,80101400
5,75,10000,AggregateAll,106200
5,75,10000,LiveFirst,101640
5,75,10000,MetadataFirst,105000
5,75,10000,LiveMetadataSemiJoin,97000
5,75,100000,CentralFetchAll,800101400
5,75,100000,AggregateAll,106200
5,75,100000,LiveFirst,101640
5,75,100000,MetadataFirst,105000
5,75,100000,LiveMetadataSemiJoin,97000
75,5,1000,CentralFetchAll,9440360
75,5,1000,AggregateAll,1445160
75,5,1000,LiveFirst,1443960
75,5,1000,MetadataFirst,96600
75,5,1000,LiveMetadataSemiJoin,1443800
75,5,10000,CentralFetchAll,81440360
75,5,10000,AggregateAll,1445160
75,5,10000,LiveFirst,1443960
75,5,10000,MetadataFirst,96600
75,5,10000,LiveMetadataSemiJoin,1443800
75,5,100000,CentralFetchAll,801440360
75,5,100000,AggregateAll,1445160
75,5,100000,LiveFirst,1443960
75,5,100000,MetadataFirst,96600
75,5,100000,LiveMetadataSemiJoin,1443800
75,75,1000,CentralFetchAll,9445400
75,75,1000,AggregateAll,1450200
75,75,1000,LiveFirst,1449000
75,75,1000,MetadataFirst,969000
75,75,1000,LiveMetadataSemiJoin,1451000
75,75,10000,CentralFetchAll,81445400
75,75,10000,AggregateAll,1450200
75,75,10000,LiveFirst,1449000
75,75,10000,MetadataFirst,969000
75,75,10000,LiveMetadataSemiJoin,1451000
75,75,100000,CentralFetchAll,801445400
75,75,100000,AggregateAll,1450200
75,75,100000,LiveFirst,1449000
75,75,100000,MetadataFirst,969000
75,75,100000,LiveMetadataSemiJoin,1451000
100,100,1000,CentralFetchAll,9927200
100,100,1000,AggregateAll,1932000
100,100,1000,LiveFirst,1932000
100,100,1000,MetadataFirst,1932000
100,100,1000,LiveMetadataSemiJoin,1940000
100,100,10000,CentralFetchAll,81927200
100,100,10000,AggregateAll,1932000
100,100,10000,LiveFirst,1932000
100,100,10000,MetadataFirst,1932000
100,100,10000,LiveMetadataSemiJoin,1940000
100,100,100000,CentralFetchAll,801927200
100,100,100000,AggregateAll,1932000
100,100,100000,LiveFirst,1932000
100,100,100000,MetadataFirst,1932000
100,100,100000,LiveMetadataSemiJoin,1940000
