evaluation_index,plan,operator_id,operator_type,operator_location,input_rows,output_rows,bytes_received,bytes_sent,requests,execution_ms
0,CentralFetchAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.000875
0,CentralFetchAll,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000000
0,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000000
0,CentralFetchAll,join,HashJoin,coordinator,241,0,0,0,0,0.000000
1,AggregateAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.000375
1,AggregateAll,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000042
1,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
1,AggregateAll,join,HashJoin,coordinator,241,0,0,0,0,0.000042
2,LiveFirst,live,LiveWindow,live-source,24000,240,19200,0,100,0.000333
2,LiveFirst,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000042
2,LiveFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000042
2,LiveFirst,join,HashJoin,coordinator,241,0,0,0,0,0.000042
3,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,1,0.001500
3,MetadataFirst,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000042
3,MetadataFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000000
3,MetadataFirst,join,BindJoin,coordinator,1,0,0,0,0,0.000042
4,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,240,19200,0,100,0.000291
4,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,40,1,0.000042
4,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,1,0,40,40,1,0.000000
4,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000000
4,LiveMetadataSemiJoin,join,SemiJoin,coordinator,1,0,0,0,0,0.000041
5,CentralFetchAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.000625
5,CentralFetchAll,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000000
5,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000000
5,CentralFetchAll,join,HashJoin,coordinator,245,0,0,0,0,0.000000
6,AggregateAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.000417
6,AggregateAll,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000000
6,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
6,AggregateAll,join,HashJoin,coordinator,245,0,0,0,0,0.000000
7,LiveFirst,live,LiveWindow,live-source,24000,240,19200,0,100,0.000250
7,LiveFirst,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000000
7,LiveFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000041
7,LiveFirst,join,HashJoin,coordinator,245,0,0,0,0,0.000042
8,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,5,0.000250
8,MetadataFirst,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000042
8,MetadataFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000000
8,MetadataFirst,join,BindJoin,coordinator,5,0,0,0,0,0.000000
9,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,240,19200,0,100,0.000208
9,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,40,1,0.000000
9,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,1,0,40,40,1,0.000000
9,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000000
9,LiveMetadataSemiJoin,join,SemiJoin,coordinator,1,0,0,0,0,0.000000
10,CentralFetchAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.000417
10,CentralFetchAll,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000000
10,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
10,CentralFetchAll,join,HashJoin,coordinator,250,0,0,0,0,0.000041
11,AggregateAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.000333
11,AggregateAll,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000000
11,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
11,AggregateAll,join,HashJoin,coordinator,250,0,0,0,0,0.000000
12,LiveFirst,live,LiveWindow,live-source,24000,240,19200,0,100,0.000292
12,LiveFirst,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000041
12,LiveFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000000
12,LiveFirst,join,HashJoin,coordinator,250,0,0,0,0,0.000000
13,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,10,0.000250
13,MetadataFirst,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000000
13,MetadataFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
13,MetadataFirst,join,BindJoin,coordinator,10,0,0,0,0,0.000000
14,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,240,19200,0,100,0.000250
14,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,40,1,0.000000
14,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,1,0,40,40,1,0.000000
14,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000000
14,LiveMetadataSemiJoin,join,SemiJoin,coordinator,1,0,0,0,0,0.000000
15,CentralFetchAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.000916
15,CentralFetchAll,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000000
15,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000041
15,CentralFetchAll,join,HashJoin,coordinator,265,0,0,0,0,0.000042
16,AggregateAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.000667
16,AggregateAll,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000041
16,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
16,AggregateAll,join,HashJoin,coordinator,265,0,0,0,0,0.000000
17,LiveFirst,live,LiveWindow,live-source,24000,240,19200,0,100,0.000458
17,LiveFirst,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000000
17,LiveFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000000
17,LiveFirst,join,HashJoin,coordinator,265,0,0,0,0,0.000000
18,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,25,0.000417
18,MetadataFirst,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000000
18,MetadataFirst,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000000
18,MetadataFirst,join,BindJoin,coordinator,25,0,0,0,0,0.000000
19,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,240,19200,0,100,0.000333
19,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,40,1,0.000000
19,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,1,0,40,40,1,0.000000
19,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000000
19,LiveMetadataSemiJoin,join,SemiJoin,coordinator,1,0,0,0,0,0.000000
20,CentralFetchAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.001125
20,CentralFetchAll,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000000
20,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000000
20,CentralFetchAll,join,HashJoin,coordinator,290,240,0,0,0,0.000000
21,AggregateAll,live,LiveWindow,live-source,24000,240,19200,0,100,0.000792
21,AggregateAll,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000000
21,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
21,AggregateAll,join,HashJoin,coordinator,290,240,0,0,0,0.000041
22,LiveFirst,live,LiveWindow,live-source,24000,240,19200,0,100,0.000584
22,LiveFirst,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000042
22,LiveFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000042
22,LiveFirst,join,HashJoin,coordinator,290,240,0,0,0,0.000041
23,MetadataFirst,live,LiveWindow,live-source,24000,240,19200,0,50,0.001625
