live_selectivity,metadata_selectivity,best_plan,total_bytes_transferred
1,1,MetadataFirst,120
1,5,MetadataFirst,600
1,10,MetadataFirst,1200
1,25,MetadataFirst,3000
1,50,LiveMetadataSemiJoin,19400
1,75,LiveMetadataSemiJoin,19400
1,100,LiveMetadataSemiJoin,19400
5,1,MetadataFirst,120
5,5,MetadataFirst,600
5,10,MetadataFirst,1200
5,25,MetadataFirst,3000
5,50,LiveMetadataSemiJoin,97000
5,75,LiveMetadataSemiJoin,97000
5,100,LiveMetadataSemiJoin,97000
10,1,MetadataFirst,120
10,5,MetadataFirst,600
10,10,MetadataFirst,1200
10,25,MetadataFirst,3000
10,50,MetadataFirst,159600
10,75,LiveMetadataSemiJoin,194000
10,100,LiveMetadataSemiJoin,194000
25,1,MetadataFirst,120
25,5,MetadataFirst,600
25,10,MetadataFirst,1200
25,25,MetadataFirst,3000
25,50,MetadataFirst,159600
25,75,LiveMetadataSemiJoin,485000
25,100,LiveMetadataSemiJoin,485000
50,1,MetadataFirst,120
50,5,MetadataFirst,600
50,10,MetadataFirst,1200
50,25,MetadataFirst,3000
50,50,MetadataFirst,159600
50,75,MetadataFirst,642600
50,100,LiveFirst,969600
75,1,MetadataFirst,19320
75,5,MetadataFirst,96600
75,10,MetadataFirst,193200
75,25,MetadataFirst,329400
75,50,MetadataFirst,486000
75,75,MetadataFirst,969000
75,100,LiveFirst,1450800
100,1,MetadataFirst,19320
100,5,MetadataFirst,96600
100,10,MetadataFirst,193200
100,25,MetadataFirst,483000
100,50,MetadataFirst,966000
100,75,MetadataFirst,1449000
100,100,AggregateAll,1932000
