plan,live_selectivity,metadata_selectivity,repetition,active_live_sources,metadata_eligible_sources,intersection_sources,live_sources_contacted,metadata_requests,historical_sources_contacted,historical_sources_skipped,live_rows_transferred,metadata_rows_transferred,historical_rows_transferred,join_key_rows_transferred,raw_bytes_transferred,aggregate_bytes_transferred,join_key_bytes_transferred,metadata_bytes_transferred,total_bytes_transferred,historical_records_scanned,join_input_rows_left,join_input_rows_right,join_output_rows,total_execution_ms,live_phase_ms,metadata_phase_ms,historical_phase_ms,join_ms,coordinator_ms,result_count,result_hash
CentralFetchAll,1,1,0,1,1,0,100,1,100,0,240,1,1000000,0,80000000,0,0,72,80019272,1000000,240,1,0,0.001458,0.000875,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
AggregateAll,1,1,0,1,1,0,100,1,100,0,240,1,100,0,0,4800,0,72,24072,1000000,240,1,0,0.000583,0.000375,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
LiveFirst,1,1,0,1,1,0,100,1,1,99,240,1,1,0,0,48,0,72,19320,10000,240,1,0,0.000541,0.000333,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
MetadataFirst,1,1,0,1,1,0,1,1,1,99,0,1,1,0,0,48,0,72,120,10000,0,1,0,0.001750,0.001500,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,1,1,0,1,1,0,100,1,0,100,240,0,0,1,0,0,40,0,19240,0,1,0,0,0.000708,0.000291,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
CentralFetchAll,1,5,0,1,5,0,100,1,100,0,240,5,1000000,0,80000000,0,0,360,80019560,1000000,240,5,0,0.000833,0.000625,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
AggregateAll,1,5,0,1,5,0,100,1,100,0,240,5,100,0,0,4800,0,360,24360,1000000,240,5,0,0.000584,0.000417,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
LiveFirst,1,5,0,1,5,0,100,1,1,99,240,5,1,0,0,48,0,360,19608,10000,240,5,0,0.000417,0.000250,0.000000,0.000042,0.000042,0.000000,0,14695981039346656037
MetadataFirst,1,5,0,1,5,0,5,1,5,95,0,5,5,0,0,240,0,360,600,50000,0,5,0,0.000458,0.000250,0.000042,0.000000,0.000000,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,1,5,0,1,5,0,100,1,0,100,240,0,0,1,0,0,40,0,19240,0,1,0,0,0.000500,0.000208,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
CentralFetchAll,1,10,0,1,10,0,100,1,100,0,240,10,1000000,0,80000000,0,0,720,80019920,1000000,240,10,0,0.000583,0.000417,0.000000,0.000041,0.000041,0.000000,0,14695981039346656037
AggregateAll,1,10,0,1,10,0,100,1,100,0,240,10,100,0,0,4800,0,720,24720,1000000,240,10,0,0.000500,0.000333,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
LiveFirst,1,10,0,1,10,0,100,1,1,99,240,10,1,0,0,48,0,720,19968,10000,240,10,0,0.000458,0.000292,0.000041,0.000000,0.000000,0.000000,0,14695981039346656037
