strategy,total_source_pairs,active_live_sources,active_live_fraction,repetition,logical_query_count,logical_branch_count,live_sources_declared,historical_sources_declared,live_sources_contacted,live_sources_with_results,historical_sources_contacted,historical_sources_skipped,source_requests,historical_records_scanned,historical_records_returned,raw_records_transferred,aggregate_rows_transferred,total_bytes_transferred,total_execution_ms,live_phase_ms,historical_phase_ms,coordinator_ms,query_parse_ms,query_lowering_ms,query_decomposition_ms,result_count,result_hash
fetch-all-sources,100,1,0.01,0,1,100,100,100,100,1,100,0,200,1000000,1000000,1000000,0,118920012,141.110833,0.024750,141.079917,0.004167,0.948167,0.000042,0.975666,1,14708463868867433843
fetch-all-sources,100,1,0.01,1,1,100,100,100,100,1,100,0,200,1000000,1000000,1000000,0,118920012,148.651542,0.024125,148.613875,0.011250,0.948167,0.000042,0.975666,1,14708463868867433843
fetch-all-sources,100,1,0.01,2,1,100,100,100,100,1,100,0,200,1000000,1000000,1000000,0,118920012,139.871583,0.034875,139.828208,0.005125,0.948167,0.000042,0.975666,1,14708463868867433843
fetch-all-sources,100,1,0.01,3,1,100,100,100,100,1,100,0,200,1000000,1000000,1000000,0,118920012,138.371583,0.021292,138.336917,0.005875,0.948167,0.000042,0.975666,1,14708463868867433843
fetch-all-sources,100,1,0.01,4,1,100,100,100,100,1,100,0,200,1000000,1000000,1000000,0,118920012,133.920875,0.022166,133.887167,0.003250,0.948167,0.000042,0.975666,1,14708463868867433843
aggregate-all-sources,100,1,0.01,0,1,100,100,100,100,1,100,0,200,1000000,100,0,100,1212,30.651458,0.010209,30.638667,0.001333,0.948167,0.000042,0.975666,1,14708463868867433843
aggregate-all-sources,100,1,0.01,1,1,100,100,100,100,1,100,0,200,1000000,100,0,100,1212,30.658667,0.008625,30.647542,0.001291,0.948167,0.000042,0.975666,1,14708463868867433843
aggregate-all-sources,100,1,0.01,2,1,100,100,100,100,1,100,0,200,1000000,100,0,100,1212,29.333459,0.008209,29.321958,0.001625,0.948167,0.000042,0.975666,1,14708463868867433843
aggregate-all-sources,100,1,0.01,3,1,100,100,100,100,1,100,0,200,1000000,100,0,100,1212,29.430792,0.008167,29.418917,0.001000,0.948167,0.000042,0.975666,1,14708463868867433843
aggregate-all-sources,100,1,0.01,4,1,100,100,100,100,1,100,0,200,1000000,100,0,100,1212,29.169333,0.007208,29.159917,0.001125,0.948167,0.000042,0.975666,1,14708463868867433843
live-first-source-selection,100,1,0.01,0,1,100,100,100,100,1,1,99,101,10000,1,0,1,24,0.315083,0.006875,0.307334,0.000333,0.948167,0.000042,0.975666,1,14708463868867433843
live-first-source-selection,100,1,0.01,1,1,100,100,100,100,1,1,99,101,10000,1,0,1,24,0.307250,0.006333,0.300167,0.000250,0.948167,0.000042,0.975666,1,14708463868867433843
live-first-source-selection,100,1,0.01,2,1,100,100,100,100,1,1,99,101,10000,1,0,1,24,0.299625,0.005833,0.293000,0.000292,0.948167,0.000042,0.975666,1,14708463868867433843
live-first-source-selection,100,1,0.01,3,1,100,100,100,100,1,1,99,101,10000,1,0,1,24,0.303333,0.005750,0.296750,0.000292,0.948167,0.000042,0.975666,1,14708463868867433843
live-first-source-selection,100,1,0.01,4,1,100,100,100,100,1,1,99,101,10000,1,0,1,24,0.296875,0.005709,0.290291,0.000292,0.948167,0.000042,0.975666,1,14708463868867433843
fetch-all-sources,100,5,0.05,0,1,100,100,100,100,5,100,0,200,1000000,1000000,1000000,0,118920060,136.064916,0.021584,136.033834,0.007666,0.908958,0.000041,0.954042,5,5253694295963796059
fetch-all-sources,100,5,0.05,1,1,100,100,100,100,5,100,0,200,1000000,1000000,1000000,0,118920060,134.761291,0.022750,134.731958,0.004792,0.908958,0.000041,0.954042,5,5253694295963796059
fetch-all-sources,100,5,0.05,2,1,100,100,100,100,5,100,0,200,1000000,1000000,1000000,0,118920060,134.519167,0.018333,134.495917,0.003208,0.908958,0.000041,0.954042,5,5253694295963796059
fetch-all-sources,100,5,0.05,3,1,100,100,100,100,5,100,0,200,1000000,1000000,1000000,0,118920060,133.382500,0.017792,133.360459,0.002875,0.908958,0.000041,0.954042,5,5253694295963796059
fetch-all-sources,100,5,0.05,4,1,100,100,100,100,5,100,0,200,1000000,1000000,1000000,0,118920060,133.017458,0.016167,132.994750,0.005375,0.908958,0.000041,0.954042,5,5253694295963796059
aggregate-all-sources,100,5,0.05,0,1,100,100,100,100,5,100,0,200,1000000,100,0,100,1260,29.675167,0.013708,29.658583,0.001542,0.908958,0.000041,0.954042,5,5253694295963796059
aggregate-all-sources,100,5,0.05,1,1,100,100,100,100,5,100,0,200,1000000,100,0,100,1260,29.268875,0.009708,29.256417,0.001708,0.908958,0.000041,0.954042,5,5253694295963796059
aggregate-all-sources,100,5,0.05,2,1,100,100,100,100,5,100,0,200,1000000,100,0,100,1260,28.639167,0.008834,28.627917,0.001458,0.908958,0.000041,0.954042,5,5253694295963796059
aggregate-all-sources,100,5,0.05,3,1,100,100,100,100,5,100,0,200,1000000,100,0,100,1260,28.615125,0.007833,28.600583,0.005583,0.908958,0.000041,0.954042,5,5253694295963796059
aggregate-all-sources,100,5,0.05,4,1,100,100,100,100,5,100,0,200,1000000,100,0,100,1260,28.405792,0.012125,28.391542,0.001041,0.908958,0.000041,0.954042,5,5253694295963796059
live-first-source-selection,100,5,0.05,0,1,100,100,100,100,5,5,95,105,50000,5,0,5,120,1.513042,0.007625,1.504041,0.000750,0.908958,0.000041,0.954042,5,5253694295963796059
live-first-source-selection,100,5,0.05,1,1,100,100,100,100,5,5,95,105,50000,5,0,5,120,1.509416,0.008000,1.500291,0.000542,0.908958,0.000041,0.954042,5,5253694295963796059
live-first-source-selection,100,5,0.05,2,1,100,100,100,100,5,5,95,105,50000,5,0,5,120,1.493208,0.006792,1.485334,0.000500,0.908958,0.000041,0.954042,5,5253694295963796059
live-first-source-selection,100,5,0.05,3,1,100,100,100,100,5,5,95,105,50000,5,0,5,120,1.494417,0.006625,1.486708,0.000500,0.908958,0.000041,0.954042,5,5253694295963796059
live-first-source-selection,100,5,0.05,4,1,100,100,100,100,5,5,95,105,50000,5,0,5,120,1.500833,0.006500,1.493291,0.000542,0.908958,0.000041,0.954042,5,5253694295963796059
fetch-all-sources,100,10,0.10,0,1,100,100,100,100,10,100,0,200,1000000,1000000,1000000,0,118920120,135.132250,0.020292,135.104000,0.006209,0.855417,0.000041,0.949917,10,11866307917495975509
fetch-all-sources,100,10,0.10,1,1,100,100,100,100,10,100,0,200,1000000,1000000,1000000,0,118920120,132.820709,0.021209,132.794166,0.003709,0.855417,0.000041,0.949917,10,11866307917495975509
fetch-all-sources,100,10,0.10,2,1,100,100,100,100,10,100,0,200,1000000,1000000,1000000,0,118920120,136.074000,0.014417,136.052917,0.005292,0.855417,0.000041,0.949917,10,11866307917495975509
fetch-all-sources,100,10,0.10,3,1,100,100,100,100,10,100,0,200,1000000,1000000,1000000,0,118920120,134.596833,0.018333,134.567292,0.005250,0.855417,0.000041,0.949917,10,11866307917495975509
fetch-all-sources,100,10,0.10,4,1,100,100,100,100,10,100,0,200,1000000,1000000,1000000,0,118920120,133.156125,0.021875,133.126333,0.006041,0.855417,0.000041,0.949917,10,11866307917495975509
aggregate-all-sources,100,10,0.10,0,1,100,100,100,100,10,100,0,200,1000000,100,0,100,1320,28.766167,0.022541,28.737875,0.003458,0.855417,0.000041,0.949917,10,11866307917495975509
aggregate-all-sources,100,10,0.10,1,1,100,100,100,100,10,100,0,200,1000000,100,0,100,1320,28.887791,0.017250,28.866125,0.002917,0.855417,0.000041,0.949917,10,11866307917495975509
aggregate-all-sources,100,10,0.10,2,1,100,100,100,100,10,100,0,200,1000000,100,0,100,1320,28.788166,0.013375,28.771292,0.002250,0.855417,0.000041,0.949917,10,11866307917495975509
aggregate-all-sources,100,10,0.10,3,1,100,100,100,100,10,100,0,200,1000000,100,0,100,1320,28.719584,0.010834,28.705667,0.002000,0.855417,0.000041,0.949917,10,11866307917495975509
aggregate-all-sources,100,10,0.10,4,1,100,100,100,100,10,100,0,200,1000000,100,0,100,1320,28.941458,0.009459,28.929291,0.001625,0.855417,0.000041,0.949917,10,11866307917495975509
live-first-source-selection,100,10,0.10,0,1,100,100,100,100,10,10,90,110,100000,10,0,10,240,2.854000,0.007416,2.844333,0.001542,0.855417,0.000041,0.949917,10,11866307917495975509
live-first-source-selection,100,10,0.10,1,1,100,100,100,100,10,10,90,110,100000,10,0,10,240,2.942333,0.023834,2.916583,0.001042,0.855417,0.000041,0.949917,10,11866307917495975509
live-first-source-selection,100,10,0.10,2,1,100,100,100,100,10,10,90,110,100000,10,0,10,240,2.829292,0.010125,2.817334,0.001084,0.855417,0.000041,0.949917,10,11866307917495975509
live-first-source-selection,100,10,0.10,3,1,100,100,100,100,10,10,90,110,100000,10,0,10,240,2.784459,0.007208,2.775708,0.000833,0.855417,0.000041,0.949917,10,11866307917495975509
live-first-source-selection,100,10,0.10,4,1,100,100,100,100,10,10,90,110,100000,10,0,10,240,2.807416,0.006916,2.798958,0.000916,0.855417,0.000041,0.949917,10,11866307917495975509
fetch-all-sources,100,25,0.25,0,1,100,100,100,100,25,100,0,200,1000000,1000000,1000000,0,118920300,134.180750,0.021834,134.150917,0.006417,0.852959,0.000042,0.941375,25,6531155869535032273
fetch-all-sources,100,25,0.25,1,1,100,100,100,100,25,100,0,200,1000000,1000000,1000000,0,118920300,132.727875,0.021125,132.698500,0.006708,0.852959,0.000042,0.941375,25,6531155869535032273
fetch-all-sources,100,25,0.25,2,1,100,100,100,100,25,100,0,200,1000000,1000000,1000000,0,118920300,132.081959,0.017375,132.057500,0.005583,0.852959,0.000042,0.941375,25,6531155869535032273
fetch-all-sources,100,25,0.25,3,1,100,100,100,100,25,100,0,200,1000000,1000000,1000000,0,118920300,134.374500,0.017667,134.349000,0.006666,0.852959,0.000042,0.941375,25,6531155869535032273
fetch-all-sources,100,25,0.25,4,1,100,100,100,100,25,100,0,200,1000000,1000000,1000000,0,118920300,136.453000,0.019209,136.424375,0.007834,0.852959,0.000042,0.941375,25,6531155869535032273
