strategy,active_live_sources,active_live_fraction,n,median_execution_ms,mean_historical_sources_contacted,mean_historical_sources_skipped,mean_historical_records_scanned,mean_transferred_bytes
fetch-all-sources,1,0.01,5,139.871583,100.000,0.000,1000000.000,118920012.000
aggregate-all-sources,1,0.01,5,29.430792,100.000,0.000,1000000.000,1212.000
live-first-source-selection,1,0.01,5,0.303333,1.000,99.000,10000.000,24.000
fetch-all-sources,5,0.05,5,134.519167,100.000,0.000,1000000.000,118920060.000
aggregate-all-sources,5,0.05,5,28.639167,100.000,0.000,1000000.000,1260.000
live-first-source-selection,5,0.05,5,1.500833,5.000,95.000,50000.000,120.000
fetch-all-sources,10,0.10,5,134.596833,100.000,0.000,1000000.000,118920120.000
aggregate-all-sources,10,0.10,5,28.788166,100.000,0.000,1000000.000,1320.000
live-first-source-selection,10,0.10,5,2.829292,10.000,90.000,100000.000,240.000
fetch-all-sources,25,0.25,5,134.180750,100.000,0.000,1000000.000,118920300.000
aggregate-all-sources,25,0.25,5,28.924083,100.000,0.000,1000000.000,1500.000
live-first-source-selection,25,0.25,5,7.244250,25.000,75.000,250000.000,600.000
fetch-all-sources,50,0.50,5,131.311750,100.000,0.000,1000000.000,118920600.000
aggregate-all-sources,50,0.50,5,29.971875,100.000,0.000,1000000.000,1800.000
live-first-source-selection,50,0.50,5,14.506458,50.000,50.000,500000.000,1200.000
fetch-all-sources,75,0.75,5,135.274334,100.000,0.000,1000000.000,118920900.000
aggregate-all-sources,75,0.75,5,29.672459,100.000,0.000,1000000.000,2100.000
live-first-source-selection,75,0.75,5,21.370667,75.000,25.000,750000.000,1800.000
fetch-all-sources,100,1.00,5,131.635042,100.000,0.000,1000000.000,118921200.000
aggregate-all-sources,100,1.00,5,29.466167,100.000,0.000,1000000.000,2400.000
live-first-source-selection,100,1.00,5,28.491083,100.000,0.000,1000000.000,2400.000
