strategy,source_pairs,historical_observations_per_source,active_live_fraction,active_live_sources,repetition,logical_query_count,logical_branch_count,live_sources_declared,historical_sources_declared,live_sources_contacted,live_sources_with_results,historical_sources_contacted,historical_sources_skipped,source_requests,historical_records_scanned,historical_records_returned,raw_records_transferred,aggregate_rows_transferred,total_bytes_transferred,total_execution_ms,live_phase_ms,historical_phase_ms,coordinator_ms,query_parse_ms,query_lowering_ms,query_decomposition_ms,result_count,result_hash
fetch-all-sources,1,10000,0.1,1,0,1,1,1,1,1,1,1,0,2,10000,10000,10000,0,1180012,1.733542,0.002333,1.729458,0.001542,excluded,excluded,excluded,1,14708463868867433843
fetch-all-sources,1,10000,0.1,1,1,1,1,1,1,1,1,1,0,2,10000,10000,10000,0,1180012,1.727125,0.001208,1.723625,0.002083,excluded,excluded,excluded,1,14708463868867433843
fetch-all-sources,1,10000,0.1,1,2,1,1,1,1,1,1,1,0,2,10000,10000,10000,0,1180012,1.495833,0.000792,1.493458,0.001166,excluded,excluded,excluded,1,14708463868867433843
fetch-all-sources,1,10000,0.1,1,3,1,1,1,1,1,1,1,0,2,10000,10000,10000,0,1180012,1.452625,0.001083,1.450500,0.000833,excluded,excluded,excluded,1,14708463868867433843
fetch-all-sources,1,10000,0.1,1,4,1,1,1,1,1,1,1,0,2,10000,10000,10000,0,1180012,2.197042,0.003084,2.192334,0.001500,excluded,excluded,excluded,1,14708463868867433843
aggregate-all-sources,1,10000,0.1,1,0,1,1,1,1,1,1,1,0,2,10000,1,0,1,24,0.334917,0.003208,0.331375,0.000125,excluded,excluded,excluded,1,14708463868867433843
aggregate-all-sources,1,10000,0.1,1,1,1,1,1,1,1,1,1,0,2,10000,1,0,1,24,0.359917,0.000334,0.359333,0.000083,excluded,excluded,excluded,1,14708463868867433843
aggregate-all-sources,1,10000,0.1,1,2,1,1,1,1,1,1,1,0,2,10000,1,0,1,24,0.392250,0.000209,0.390625,0.001292,excluded,excluded,excluded,1,14708463868867433843
aggregate-all-sources,1,10000,0.1,1,3,1,1,1,1,1,1,1,0,2,10000,1,0,1,24,0.514167,0.002042,0.511041,0.000500,excluded,excluded,excluded,1,14708463868867433843
aggregate-all-sources,1,10000,0.1,1,4,1,1,1,1,1,1,1,0,2,10000,1,0,1,24,0.744834,0.000792,0.743125,0.000542,excluded,excluded,excluded,1,14708463868867433843
live-first-source-selection,1,10000,0.1,1,0,1,1,1,1,1,1,1,0,2,10000,1,0,1,24,0.311875,0.000417,0.311334,0.000042,excluded,excluded,excluded,1,14708463868867433843
