strategy,source_pairs,n,median_execution_ms,mean_historical_sources_contacted,mean_historical_records_scanned,mean_bytes_transferred
fetch-all-sources,1,5,1.727125,1.000,10000.000,1180012.000
aggregate-all-sources,1,5,0.392250,1.000,10000.000,24.000
live-first-source-selection,1,5,0.307458,1.000,10000.000,24.000
fetch-all-sources,5,5,7.219000,5.000,50000.000,5900012.000
aggregate-all-sources,5,5,1.472750,5.000,50000.000,72.000
live-first-source-selection,5,5,0.283625,1.000,10000.000,24.000
fetch-all-sources,10,5,13.741042,10.000,100000.000,11810012.000
aggregate-all-sources,10,5,3.004667,10.000,100000.000,132.000
live-first-source-selection,10,5,0.300542,1.000,10000.000,24.000
fetch-all-sources,25,5,33.968292,25.000,250000.000,29660036.000
aggregate-all-sources,25,5,7.561833,25.000,250000.000,336.000
live-first-source-selection,25,5,0.913208,3.000,30000.000,72.000
fetch-all-sources,50,5,66.530833,50.000,500000.000,59410060.000
aggregate-all-sources,50,5,14.552542,50.000,500000.000,660.000
live-first-source-selection,50,5,1.539042,5.000,50000.000,120.000
fetch-all-sources,100,5,138.681000,100.000,1000000.000,118920120.000
aggregate-all-sources,100,5,29.664792,100.000,1000000.000,1320.000
live-first-source-selection,100,5,2.907750,10.000,100000.000,240.000
