strategy,historical_sensors,historical_observations,historical_observations_per_sensor,live_sensors,repetition,random_seed,total_latency_ms,historical_source_time_ms,coordinator_time_ms,historical_records_scanned,historical_records_returned,live_records_processed,bytes_sent_to_historical_source,bytes_received_from_historical_source,total_bytes_transferred,source_requests,result_count,result_hash
fetch-all,1000,100000,100,10,0,17,45.444875,17.460750,27.983958,100000,100000,10,0,11989000,11990180,2,10,496238227422992980
fetch-all,1000,100000,100,10,1,17,42.499208,15.329250,27.169916,100000,100000,10,0,11989000,11990180,2,10,496238227422992980
fetch-all,1000,100000,100,10,2,17,42.712750,15.223417,27.489250,100000,100000,10,0,11989000,11990180,2,10,496238227422992980
aggregate-pushdown,1000,100000,100,10,0,17,3.466541,3.461416,0.005083,100000,1000,10,0,36890,38070,2,10,496238227422992980
aggregate-pushdown,1000,100000,100,10,1,17,3.146916,3.143959,0.002916,100000,1000,10,0,36890,38070,2,10,496238227422992980
aggregate-pushdown,1000,100000,100,10,2,17,3.115625,3.112708,0.002833,100000,1000,10,0,36890,38070,2,10,496238227422992980
bind-join,1000,100000,100,10,0,17,0.921750,0.920875,0.000875,100000,10,10,270,350,1530,2,10,496238227422992980
bind-join,1000,100000,100,10,1,17,0.948541,0.947667,0.000833,100000,10,10,270,350,1530,2,10,496238227422992980
bind-join,1000,100000,100,10,2,17,1.003458,1.002791,0.000584,100000,10,10,270,350,1530,2,10,496238227422992980
fetch-all,1000,100000,100,100,0,17,44.165167,16.579000,27.586083,100000,100000,100,0,11989000,12000890,2,100,14789835742191583177
fetch-all,1000,100000,100,100,1,17,41.895125,14.824042,27.071041,100000,100000,100,0,11989000,12000890,2,100,14789835742191583177
fetch-all,1000,100000,100,100,2,17,43.051375,15.711291,27.339959,100000,100000,100,0,11989000,12000890,2,100,14789835742191583177
aggregate-pushdown,1000,100000,100,100,0,17,3.121417,3.113333,0.008084,100000,1000,100,0,36890,48780,2,100,14789835742191583177
aggregate-pushdown,1000,100000,100,100,1,17,3.086083,3.078667,0.007291,100000,1000,100,0,36890,48780,2,100,14789835742191583177
aggregate-pushdown,1000,100000,100,100,2,17,3.104708,3.097791,0.006875,100000,1000,100,0,36890,48780,2,100,14789835742191583177
bind-join,1000,100000,100,100,0,17,1.257000,1.251209,0.005750,100000,100,100,2790,3590,15480,2,100,14789835742191583177
bind-join,1000,100000,100,100,1,17,1.230208,1.225000,0.005166,100000,100,100,2790,3590,15480,2,100,14789835742191583177
bind-join,1000,100000,100,100,2,17,1.186792,1.181875,0.004875,100000,100,100,2790,3590,15480,2,100,14789835742191583177
fetch-all,1000,100000,100,1000,0,17,42.682916,15.303333,27.379500,100000,100000,1000,0,11989000,12108890,2,1000,8851256960392883495
fetch-all,1000,100000,100,1000,1,17,49.858625,15.586916,34.271500,100000,100000,1000,0,11989000,12108890,2,1000,8851256960392883495
fetch-all,1000,100000,100,1000,2,17,43.290541,15.367041,27.923291,100000,100000,1000,0,11989000,12108890,2,1000,8851256960392883495
aggregate-pushdown,1000,100000,100,1000,0,17,3.331167,3.285792,0.045333,100000,1000,1000,0,36890,156780,2,1000,8851256960392883495
aggregate-pushdown,1000,100000,100,1000,1,17,3.388083,3.342125,0.045834,100000,1000,1000,0,36890,156780,2,1000,8851256960392883495
aggregate-pushdown,1000,100000,100,1000,2,17,3.308250,3.253833,0.054417,100000,1000,1000,0,36890,156780,2,1000,8851256960392883495
bind-join,1000,100000,100,1000,0,17,7.371833,7.301625,0.070167,100000,1000,1000,28890,36890,156780,2,1000,8851256960392883495
bind-join,1000,100000,100,1000,1,17,6.201458,6.148416,0.053000,100000,1000,1000,28890,36890,156780,2,1000,8851256960392883495
bind-join,1000,100000,100,1000,2,17,4.868208,4.815375,0.052833,100000,1000,1000,28890,36890,156780,2,1000,8851256960392883495
